date,origin_district,origin_municplty,item,Cesium_134_Plus_Cesium_137C
2014-07-24,Aizu,Yama county Nishiaizu town,Black bear,16
2014-07-24,Kempoku,Date county Kunimi town,Black bear,270
2014-07-25,Aizu,Onuma county Aizumisato town,Black bear,24
2014-07-26,Aizu,Aizuwakamatsu city,Black bear,68
2014-07-27,Soso,Minamisoma city,Wild boar,2400
2014-07-27,Aizu,Yama county Inawashiro town,Black bear,55
2014-07-28,Kempoku,Motomiya city,Wild boar,190
2014-07-28,Kempoku,Motomiya city,Wild boar,190
2014-07-28,Aizu,Aizuwakamatsu city,Black bear,33
2014-07-28,Kempoku,Date county Kori town,Black bear,310
2014-07-29,Kenchu,Tamura city,Wild boar,37
2014-07-30,Kempoku,Date county Kunimi town,Black bear,310
2014-07-31,Kenchu,Tamura city,Wild boar,340
2014-08-01,Kenchu,Tamura city,Wild boar,290
2014-08-01,Aizu,Kawanuma county Yanaizu town,Black bear,65
2014-08-01,Kempoku,Date county Kawamata town,Wild boar,250
2014-08-02,Kenchu,Tamura city,Wild boar,110
2014-08-02,Aizu,Yama county Inawashiro town,Black bear,74
2014-08-02,Kempoku,Date county Kunimi town,Black bear,120
2014-08-03,Aizu,Kawanuma county Yanaizu town,Black bear,36
2014-08-04,Aizu,Kawanuma county Yanaizu town,Black bear,57
2014-08-05,Aizu,Yama county Inawashiro town,Black bear,79
2014-08-05,Aizu,Yama county Inawashiro town,Black bear,110
2014-08-05,Kempoku,Date county Kori town,Black bear,460
2014-08-06,Kenchu,Koriyama city,Wild boar,17
2014-08-06,Aizu,Yama county Inawashiro town,Black bear,110
2014-08-06,Aizu,Yama county Bandai town,Black bear,83
2014-08-06,Kenchu,Koriyama city,Black bear,33
2014-08-07,Kempoku,Fukushima city,Wild boar,130
2014-08-07,Kempoku,Fukushima city,Wild boar,360
2014-08-07,Aizu,Onuma county Aizumisato town,Black bear,12
2014-08-07,Kempoku,Nihommatsu city,Black bear,340
2014-08-08,Aizu,Yama county Bandai town,Black bear,69
2014-08-08,Kenchu,Koriyama city,Black bear,180
2014-08-08,Kempoku,Date county Kori town,Black bear,350
2014-08-09,Aizu,Kawanuma county Yanaizu town,Black bear,53
2014-08-09,Kempoku,Nihommatsu city,Black bear,290
2014-08-09,Kenchu,Tamura city,Wild boar,92
2014-08-09,Kempoku,Date county Kawamata town,Wild boar,350
2014-08-11,Kempoku,Nihommatsu city,Wild boar,180
2014-08-11,Aizu,Onuma county Aizumisato town,Black bear,20
2014-08-11,Aizu,Yama county Inawashiro town,Black bear,56
2014-08-11,Aizu,Yama county Inawashiro town,Black bear,20
2014-08-11,Minamiaizu,Minamiaizu county Shimogo town,Black bear,52
2014-08-12,Kenchu,Tamura city,Wild boar,87
2014-08-12,Kempoku,Nihommatsu city,Wild boar,46
2014-08-12,Aizu,Onuma county Aizumisato town,Black bear,41
2014-08-12,Kenchu,Koriyama city,Black bear,43
2014-08-12,Kenchu,Sukagawa city,Black bear,160
2014-08-12,Kempoku,Date county Kunimi town,Black bear,150
2014-08-12,Kempoku,Nihommatsu city,Wild boar,160
2014-08-12,Aizu,Kawanuma county Yanaizu town,Black bear,28
2014-08-12,Kempoku,Date county Kawamata town,Wild boar,380
2014-08-13,Kempoku,Nihommatsu city,Wild boar,73
2014-08-13,Kenchu,Koriyama city,Black bear,11
2014-08-13,Kempoku,Fukushima city,Black bear,120
2014-08-13,Aizu,Kawanuma county Yanaizu town,Black bear,47
2014-08-14,Kempoku,Date city,Wild boar,630
2014-08-15,Kenchu,Tamura city,Wild boar,210
2014-08-15,Aizu,Onuma county Aizumisato town,Black bear,14
2014-08-16,Soso,Minamisoma city,Wild boar,600
2014-08-17,Kempoku,Fukushima city,Black bear,110
2014-08-18,Aizu,Aizuwakamatsu city,Black bear,36
2014-08-19,Kenchu,Tamura city,Wild boar,170
2014-08-19,Kenchu,Tamura city,Wild boar,220
2014-08-20,Kenchu,Tamura city,Wild boar,23
2014-08-20,Kenchu,Tamura city,Wild boar,76
2014-08-20,Kenchu,Tamura city,Wild boar,79
2014-08-20,Aizu,Onuma county Aizumisato town,Black bear,22
2014-08-20,Kempoku,Date county Kunimi town,Black bear,220
2014-08-20,Aizu,Yama county Bandai town,Black bear,87
2014-08-20,Aizu,Kawanuma county Yanaizu town,Black bear,49
2014-08-20,Kempoku,Fukushima city,Black bear,160
2014-08-21,Kenchu,Tamura city,Wild boar,19
2014-08-21,Kempoku,Nihommatsu city,Wild boar,4700
2014-08-21,Kempoku,Motomiya city,Wild boar,170
2014-08-22,Kenchu,Sukagawa city,Wild boar,100
2014-08-22,Aizu,Yama county Inawashiro town,Black bear,130
2014-08-23,Kennan,Higashishirakawa county Samegawa village,Wild boar,230
2014-08-23,Kempoku,Nihommatsu city,Wild boar,200
2014-08-24,Kempoku,Nihommatsu city,Wild boar,46
2014-08-24,Kempoku,Nihommatsu city,Wild boar,280
2014-08-24,Soso,Minamisoma city,Wild boar,110
2014-08-24,Aizu,Onuma county Aizumisato town,Black bear,30
2014-08-25,Kenchu,Tamura city,Wild boar,37
2014-08-25,Kempoku,Date county Kori town,Wild boar,130
2014-08-25,Soso,Soma city,Wild boar,220
2014-08-25,Aizu,Yama county Inawashiro town,Black bear,36
2014-08-26,Kenchu,Tamura city,Wild boar,240
2014-08-26,Kempoku,Date county Kori town,Black bear,95
2014-08-27,Aizu,Yama county Nishiaizu town,Black bear,13
2014-08-27,Kenchu,Tamura city,Wild boar,1200
2014-08-27,Kenchu,Tamura city,Wild boar,61
2014-08-27,Kempoku,Nihommatsu city,Wild boar,86
2014-08-27,Aizu,Onuma county Aizumisato town,Black bear,33
2014-08-27,Aizu,Onuma county Aizumisato town,Black bear,30
2014-08-27,Aizu,Yama county Nishiaizu town,Black bear,18
2014-08-28,Kenchu,Tamura city,Wild boar,84
2014-08-28,Kempoku,Nihommatsu city,Wild boar,430
2014-08-28,Aizu,Yama county Inawashiro town,Black bear,44
2014-08-28,Aizu,Yama county Inawashiro town,Black bear,49
2014-08-28,Kempoku,Nihommatsu city,Black bear,130
2014-08-29,Kempoku,Nihommatsu city,Wild boar,160
2014-08-30,Aizu,Yama county Inawashiro town,Black bear,40
2014-09-01,Kempoku,Nihommatsu city,Black bear,130
2014-09-03,Kenchu,Koriyama city,Black bear,42
2014-09-04,Kenchu,Tamura city,Wild boar,67
2014-09-04,Aizu,Yama county Inawashiro town,Black bear,49
2014-09-05,Kempoku,Date county Kori town,Wild boar,190
2014-09-05,Kempoku,Date county Kunimi town,Wild boar,220
2014-09-05,Aizu,Kawanuma county Yanaizu town,Black bear,34
2014-09-06,Aizu,Yama county Inawashiro town,Black bear,34
2014-09-07,Kenchu,Koriyama city,Black bear,180
2014-09-08,Aizu,Yama county Nishiaizu town,Black bear,7
2014-09-09,Soso,Futaba county Katsurao village,Wild boar,5000
2014-09-09,Aizu,Onuma county Aizumisato town,Black bear,15
2014-09-09,Aizu,Kawanuma county Yanaizu town,Black bear,48
2014-09-10,Aizu,Yama county Inawashiro town,Black bear,43
2014-09-10,Kempoku,Fukushima city,Black bear,110
2014-09-11,Kennan,Higashishirakawa county Samegawa village,Wild boar,16
2014-09-11,Kempoku,Nihommatsu city,Wild boar,160
2014-09-11,Kenchu,Koriyama city,Black bear,36
2014-09-12,Kennan,Higashishirakawa county Samegawa village,Wild boar,130
2014-09-13,Aizu,Onuma county Aizumisato town,Black bear,13
2014-09-13,Aizu,Yama county Bandai town,Black bear,43
2014-09-13,Kenchu,Koriyama city,Black bear,47
2014-09-13,Kempoku,Fukushima city,Black bear,110
2014-09-13,Kenchu,Ishikawa county Ishikawa town,Copper pheasant,11
2014-09-14,Aizu,Onuma county Aizumisato town,Black bear,16
2014-09-15,Kempoku,Fukushima city,Copper pheasant,42
