Measurement date,Sampled at time,Sampling order,Measurement point,Prefecture,City,Sampling coordinate North latitude,Sampling coordinate East longitude,Sampling coordinate North latitude (Decimal),Sampling coordinate East longitude (Decimal),Distance from TEPCO Fukushima Dai-ichi NPP (km),131I radioactivity concentration (Bq/kg),131I detection limit (Bq/kg),134Cs radioactivity concentration (Bq/kg),134Cs detection limit (Bq/kg),137Cs radioactivity concentration (Bq/kg),137Cs detection limit (Bq/kg),Remark
2012-08-05,11:00,First time,"Environmental Radioactivity Monitoring Center of Fukushima Fukushima Branch (Hokidachinai, Fukushima City)",Fukushima prefecture,Fukushima city,"37°44'32.3""","140°26'48.8""",37.742300,140.447000,62.7,ND,7.0E-01,ND,7.0E-01,ND,7.0E-01,
2012-08-06,11:00,First time,"Environmental Radioactivity Monitoring Center of Fukushima Fukushima Branch (Hokidachinai, Fukushima City)",Fukushima prefecture,Fukushima city,"37°44'32.3""","140°26'48.8""",37.742300,140.447000,62.7,ND,7.0E-01,ND,7.0E-01,ND,7.0E-01,
2012-08-07,11:00,First time,"Environmental Radioactivity Monitoring Center of Fukushima Fukushima Branch (Hokidachinai, Fukushima City)",Fukushima prefecture,Fukushima city,"37°44'32.3""","140°26'48.8""",37.742300,140.447000,62.7,ND,7.0E-01,ND,7.0E-01,ND,7.0E-01,
2012-08-08,11:00,First time,"Environmental Radioactivity Monitoring Center of Fukushima Fukushima Branch (Hokidachinai, Fukushima City)",Fukushima prefecture,Fukushima city,"37°44'32.3""","140°26'48.8""",37.742300,140.447000,62.7,ND,7.0E-01,ND,7.0E-01,ND,7.0E-01,
2012-08-09,11:00,First time,"Environmental Radioactivity Monitoring Center of Fukushima Fukushima Branch (Hokidachinai, Fukushima City)",Fukushima prefecture,Fukushima city,"37°44'32.3""","140°26'48.8""",37.742300,140.447000,62.7,ND,7.0E-01,ND,7.0E-01,ND,7.0E-01,
2012-08-10,11:00,First time,"Environmental Radioactivity Monitoring Center of Fukushima Fukushima Branch (Hokidachinai, Fukushima City)",Fukushima prefecture,Fukushima city,"37°44'32.3""","140°26'48.8""",37.742300,140.447000,62.7,ND,7.0E-01,ND,7.0E-01,ND,7.0E-01,
2012-08-11,11:00,First time,"Environmental Radioactivity Monitoring Center of Fukushima Fukushima Branch (Hokidachinai, Fukushima City)",Fukushima prefecture,Fukushima city,"37°44'32.3""","140°26'48.8""",37.742300,140.447000,62.7,ND,7.0E-01,ND,7.0E-01,ND,7.0E-01,
2012-08-12,11:00,First time,"Environmental Radioactivity Monitoring Center of Fukushima Fukushima Branch (Hokidachinai, Fukushima City)",Fukushima prefecture,Fukushima city,"37°44'32.3""","140°26'48.8""",37.742300,140.447000,62.7,ND,7.0E-01,ND,7.0E-01,ND,7.0E-01,
2012-08-13,11:00,First time,"Environmental Radioactivity Monitoring Center of Fukushima Fukushima Branch (Hokidachinai, Fukushima City)",Fukushima prefecture,Fukushima city,"37°44'32.3""","140°26'48.8""",37.742300,140.447000,62.7,ND,7.0E-01,ND,7.0E-01,ND,7.0E-01,
2012-08-14,11:00,First time,"Environmental Radioactivity Monitoring Center of Fukushima Fukushima Branch (Hokidachinai, Fukushima City)",Fukushima prefecture,Fukushima city,"37°44'32.3""","140°26'48.8""",37.742300,140.447000,62.7,ND,7.0E-01,ND,7.0E-01,ND,7.0E-01,
