﻿Sampling date,Announcement date,Sampling point,Sampling coordinate North latitude (Decimal),Sampling coordinate East longitude (Decimal),Distance from TEPCO Fukushima Dai-ichi NPP (km),Type of sample,131I Radioactivity concentration (Bq/kg),131I Detection limit (Bq/kg),134Cs Radioactivity concentration (Bq/kg),134Cs Detection limit (Bq/kg),137Cs Radioactivity concentration (Bq/kg),137Cs Detection limit (Bq/kg),134Cs+137Cs Radioactivity concentration (Bq/kg),134Cs+137Cs Detection limit (Bq/kg),134Cs+137CsExceeded reference value ,89SrRadioactivity concenteration(Bq/kg),89SrDetectedLower Limit (Bq/kg),90SrRadioactivity concenteration(Bq/kg),90SrDetectedLower Limit (Bq/kg),238PuRadioactivity concenteration(Bq/kg),238PuDetectedLower Limit (Bq/kg),239Pu+240PuRadioactivity concenteration(Bq/kg),239Pu+240PuDetectedLower Limit (Bq/kg),241Am Radioactivity concentration (Bq/kg),241Am DetectedLower Limit (Bq/Kg),Remarks
2013-10-02,2014-01-23,,42.116666,141.283333,522.5,Alaska pollock,ND,,3.6E-02,,1.6E-01,,,,,ND,8.5E-02,ND,1.4E-02,ND,8.5E-04,ND,8.5E-04,,,"Portion measured - whole body for Sr, Cs, and Pu"
2013-10-07,2014-01-23,,42.450000,140.850000,559.3,Scallop ,ND,,1.6E-02,,3.8E-02,,,,,ND,5.3E-02,ND,8.9E-03,ND,5.3E-04,1.1E-03,,,,"Portion measured - molluscous part for Sr, Cs, and Pu"
2013-10-07,2014-03-13,,42.450000,140.850000,559.3,Scallop ,ND,,ND,1.7E-02,3.8E-02,,,,,ND,9.8E-02,ND,1.2E-02,,,,,,,"Portion measured - molluscous part for Sr, and Cs"
2013-11-24,2014-03-13,,37.316666,141.150000,15.6,Stone flounder,ND,,1.9E+00,,4.9E+00,,,,,ND,2.9E-01,ND,1.5E-02,,,,,,,"Portion measured - whole body for Sr, and Cs"
2013-11-24,2014-03-13,,37.316666,141.150000,15.6,Crimson sea bream,ND,,1.2E+00,,3.0E+00,,,,,ND,4.3E-01,ND,2.4E-02,,,,,,,"Portion measured - whole body for Sr, and Cs"
2013-12-19,2014-02-05,Miyagi prefecture Shichigahama chisaki,,,,Laver,ND,,ND,6.0E-02,8.4E-02,,,,,ND,5.2E-01,6.9E-02,,,,,,,,Portion measured - whole body
2013-12-19,2014-02-05,Miyagi prefecture Shichigahama chisaki,,,,Wakame seaweed,ND,,4.0E-02,,8.2E-02,,,,,ND,4.0E-01,5.5E-02,,,,,,,,Portion measured - whole body
2014-06-26,2014-11-27,,43.533333,170.833333,2595.2,Pacific saury,ND,,1.5E-01,,4.9E-01,,,,,ND,2.9E-02,ND,7.7E-03,,,,,,,"Portion measured - whole body without internal organs for Sr, and Cs"
2014-07-08,2014-11-27,,37.333333,141.083333,10.8,Spiny dogfish,ND,,9.7E-01,,3.0E+00,,,,,ND,4.3E-02,ND,8.7E-03,,,,,,,"Portion measured - whole body without internal organs for Sr, and Cs"
2014-07-09,2014-11-27,,37.466666,141.116666,9.0,Beach conger,ND,,9.1E-01,,2.7E+00,,,,,ND,4.8E-02,ND,1.1E-02,,,,,,,"Portion measured - whole body without internal organs for Sr, and Cs"
