Sampling starting date,Sampling starting time,Sampling ending date,Sampling ending time,Measurement date,Measurement time,Correction base date,Prefecture,City,Sampling coordinate North latitude,Sampling coordinate East longitude,Sampling coordinate North latitude (Decimal),Sampling coordinate East longitude (Decimal),Distance from TEPCO Fukushima Dai-ichi NPP (km),Air dose rate at a height of 1 m above the ground (µSv/h),131I Radioactivity concentration (Bq/m3),131I Detection limit (Bq/m3),134Cs Radioactivity concentration (Bq/m3),134Cs Detection limit (Bq/m3),137Cs Radioactivity concentration (Bq/m3),137Cs Detection limit (Bq/m3),132I Radioactivity concentration (Bq/m3),132I Detection limit (Bq/m3),132Te Radioactivity concentration (Bq/m3),132Te Detection limit (Bq/m3)
2013-05-08,14:45,2013-05-09,14:45,,,2013-05-08,Fukushima prefecture,Futaba county Tomioka town,,,,,Around 9,3.0E+00,ND,,9.8E-04,,2.1E-03,,ND,,ND,
2013-05-08,15:20,2013-05-09,15:20,,,2013-05-08,Fukushima prefecture,Futaba county Naraha town,,,,,Around 16,3.0E-01,ND,,ND,,ND,,ND,,ND,
2013-05-21,09:55,2013-05-21,15:55,,,2013-05-21,Fukushima prefecture,Futaba county Futaba town,,,,,Around 4,1.9E+00,ND,,ND,,1.8E-03,,ND,,ND,
2013-05-22,13:00,2013-05-23,13:00,,,2013-05-22,Fukushima prefecture,Minamisoma city,,,,,Around 16,1.0E-01,ND,,5.2E-03,,1.0E-02,,ND,,ND,
2013-05-22,13:55,2013-05-23,13:55,,,2013-05-22,Fukushima prefecture,Futaba county Namie town,,,,,Around 9,2.0E-01,ND,,ND,,6.7E-04,,ND,,ND,
2013-05-22,14:35,2013-05-23,14:35,,,2013-05-22,Fukushima prefecture,Futaba county Okuma town,,,,,Around 5,1.9E+00,ND,,8.2E-03,,1.6E-02,,ND,,ND,
2013-05-22,15:00,2013-05-23,15:00,,,2013-05-22,Fukushima prefecture,Futaba county Tomioka town,,,,,Around 9,3.0E+00,ND,,1.0E-02,,2.0E-02,,ND,,ND,
2013-05-22,15:25,2013-05-23,15:25,,,2013-05-22,Fukushima prefecture,Futaba county Naraha town,,,,,Around 16,3.0E-01,ND,,ND,,5.3E-04,,ND,,ND,
2013-06-05,13:25,2013-06-06,13:25,,,2013-06-05,Fukushima prefecture,Minamisoma city,,,,,Around 16,1.0E-01,ND,,8.8E-04,,2.1E-03,,ND,,ND,
2013-06-05,14:00,2013-06-06,14:00,,,2013-06-05,Fukushima prefecture,Futaba county Namie town,,,,,Around 9,2.0E-01,ND,,1.4E-03,,2.9E-03,,ND,,ND,
2013-06-05,14:35,2013-06-06,14:35,,,2013-06-05,Fukushima prefecture,Futaba county Okuma town,,,,,Around 5,2.1E+00,ND,,1.1E-03,,2.5E-03,,ND,,ND,
2013-06-05,15:10,2013-06-06,15:10,,,2013-06-05,Fukushima prefecture,Futaba county Tomioka town,,,,,Around 9,2.7E+00,ND,,5.8E-04,,1.2E-03,,ND,,ND,
2013-06-05,15:35,2013-06-06,15:35,,,2013-06-05,Fukushima prefecture,Futaba county Naraha town,,,,,Around 16,3.0E-01,ND,,ND,,6.7E-04,,ND,,ND,
2013-06-19,13:20,2013-06-20,13:20,,,2013-06-19,Fukushima prefecture,Minamisoma city,,,,,Around 16,1.0E-01,ND,,ND,,5.2E-04,,ND,,ND,
2013-06-19,13:55,2013-06-20,13:55,,,2013-06-19,Fukushima prefecture,Futaba county Namie town,,,,,Around 9,2.0E-01,ND,,1.1E-03,,2.4E-03,,ND,,ND,
2013-06-19,14:40,2013-06-20,14:40,,,2013-06-19,Fukushima prefecture,Futaba county Okuma town,,,,,Around 5,2.0E+00,ND,,4.7E-04,,1.1E-03,,ND,,ND,
2013-06-19,15:05,2013-06-20,15:05,,,2013-06-19,Fukushima prefecture,Futaba county Tomioka town,,,,,Around 9,2.9E+00,ND,,4.4E-04,,7.8E-04,,ND,,ND,
2013-06-19,15:30,2013-06-20,15:30,,,2013-06-19,Fukushima prefecture,Futaba county Naraha town,,,,,Around 16,3.0E-01,ND,,ND,,ND,,ND,,ND,
2013-06-20,08:55,2013-06-20,14:55,,,2013-06-20,Fukushima prefecture,Futaba county Futaba town,,,,,Around 4,1.9E+00,ND,,1.7E-02,,3.4E-02,,ND,,ND,
2013-07-03,13:15,2013-07-04,13:15,,,2013-07-03,Fukushima prefecture,Minamisoma city,,,,,Around 16,1.0E-01,ND,,ND,,5.1E-04,,ND,,ND,
2013-07-03,13:50,2013-07-04,13:50,,,2013-07-03,Fukushima prefecture,Futaba county Namie town,,,,,Around 9,2.0E-01,ND,,4.5E-04,,8.4E-04,,ND,,ND,
2013-07-03,14:25,2013-07-04,14:25,,,2013-07-03,Fukushima prefecture,Futaba county Okuma town,,,,,Around 5,1.8E+00,ND,,7.2E-04,,1.5E-03,,ND,,ND,
2013-07-03,14:50,2013-07-04,14:50,,,2013-07-03,Fukushima prefecture,Futaba county Tomioka town,,,,,Around 9,2.4E+00,ND,,3.8E-04,,1.0E-03,,ND,,ND,
2013-07-03,15:15,2013-07-04,15:15,,,2013-07-03,Fukushima prefecture,Futaba county Naraha town,,,,,Around 16,3.0E-01,ND,,ND,,ND,,ND,,ND,
2013-07-17,13:25,2013-07-18,13:25,,,2013-07-17,Fukushima prefecture,Minamisoma city,,,,,Around 16,1.0E-01,ND,,ND,,2.9E-04,,ND,,ND,
2013-07-17,13:50,2013-07-18,13:50,,,2013-07-17,Fukushima prefecture,Futaba county Namie town,,,,,Around 9,2.0E-01,ND,,5.4E-04,,1.4E-03,,ND,,ND,
2013-07-17,09:10,2013-07-17,15:10,,,2013-07-17,Fukushima prefecture,Futaba county Futaba town,,,,,Around 4,2.0E+00,ND,,5.1E-03,,1.1E-02,,ND,,ND,
2013-07-17,14:25,2013-07-18,14:25,,,2013-07-17,Fukushima prefecture,Futaba county Okuma town,,,,,Around 5,1.7E+00,ND,,9.4E-04,,1.9E-03,,ND,,ND,
2013-07-17,14:50,2013-07-18,14:50,,,2013-07-17,Fukushima prefecture,Futaba county Tomioka town,,,,,Around 9,2.8E+00,ND,,1.6E-03,,3.5E-03,,ND,,ND,
2013-07-17,15:15,2013-07-18,15:15,,,2013-07-17,Fukushima prefecture,Futaba county Naraha town,,,,,Around 16,3.0E-01,ND,,6.0E-04,,1.4E-03,,ND,,ND,
2013-07-31,13:30,2013-08-01,13:30,,,2013-07-31,Fukushima prefecture,Minamisoma city,,,,,Around 16,1.0E-01,ND,,ND,,ND,,ND,,ND,
2013-07-31,14:05,2013-08-01,14:05,,,2013-07-31,Fukushima prefecture,Futaba county Namie town,,,,,Around 9,2.0E-01,ND,,ND,,ND,,ND,,ND,
2013-07-31,14:50,2013-08-01,14:50,,,2013-07-31,Fukushima prefecture,Futaba county Okuma town,,,,,Around 5,1.8E+00,ND,,5.9E-04,,1.3E-03,,ND,,ND,
2013-07-31,15:15,2013-08-01,15:15,,,2013-07-31,Fukushima prefecture,Futaba county Tomioka town,,,,,Around 9,2.6E+00,ND,,6.4E-04,,1.8E-03,,ND,,ND,
2013-07-31,15:40,2013-08-01,15:40,,,2013-07-31,Fukushima prefecture,Futaba county Naraha town,,,,,Around 16,3.0E-01,ND,,7.5E-04,,1.6E-03,,ND,,ND,
2013-08-14,13:10,2013-08-15,13:10,,,2013-08-14,Fukushima prefecture,Minamisoma city,,,,,Around 16,1.0E-01,ND,,1.9E-03,,4.2E-03,,ND,,ND,
2013-08-14,13:35,2013-08-15,13:35,,,2013-08-14,Fukushima prefecture,Futaba county Namie town,,,,,Around 9,2.0E-01,ND,,2.8E-02,,6.0E-02,,ND,,ND,
2013-08-14,09:10,2013-08-14,15:10,,,2013-08-14,Fukushima prefecture,Futaba county Futaba town,,,,,Around 4,1.7E+00,ND,,ND,,9.4E-04,,ND,,ND,
2013-08-14,14:03,2013-08-15,14:03,,,2013-08-14,Fukushima prefecture,Futaba county Okuma town,,,,,Around 5,1.7E+00,ND,,ND,,4.1E-04,,ND,,ND,
2013-08-14,14:30,2013-08-15,14:30,,,2013-08-14,Fukushima prefecture,Futaba county Tomioka town,,,,,Around 9,2.6E+00,ND,,ND,,4.6E-04,,ND,,ND,
