Sampling starting date,Sampling starting time,Sampling ending date,Sampling ending time,Measurement date,Measurement time,Correction base date,Prefecture,City,Sampling coordinate North latitude,Sampling coordinate East longitude,Sampling coordinate North latitude (Decimal),Sampling coordinate East longitude (Decimal),Distance from TEPCO Fukushima Dai-ichi NPP (km),Air dose rate at a height of 1 m above the ground (µSv/h),131I Radioactivity concentration (Bq/m3),131I Detection limit (Bq/m3),134Cs Radioactivity concentration (Bq/m3),134Cs Detection limit (Bq/m3),137Cs Radioactivity concentration (Bq/m3),137Cs Detection limit (Bq/m3),132I Radioactivity concentration (Bq/m3),132I Detection limit (Bq/m3),132Te Radioactivity concentration (Bq/m3),132Te Detection limit (Bq/m3)
2011-04-02,12:55,2011-04-02,13:14,,,2011-04-02,Fukushima prefecture,Futaba county Futaba town,,,,,Around 4,,6.8E+00,,1.8E+00,,3.3E+00,,ND,,ND,
2011-04-18,15:49,2011-04-18,15:57,,,2011-04-18,Fukushima prefecture,Futaba county Futaba town,,,,,Around 4,,3.1E+02,,1.2E+02,,1.1E+02,,ND,,ND,
2011-04-18,15:22,2011-04-18,15:30,,,2011-04-18,Fukushima prefecture,Futaba county Okuma town,,,,,Around 4,,1.5E+01,,1.0E+01,,8.7E+00,,ND,,ND,
2011-04-18,13:03,2011-04-18,13:13,,,2011-04-18,Fukushima prefecture,Futaba county Namie town,,,,,Around 9,,1.0E+01,,5.4E+00,,6.8E+00,,ND,,ND,
2011-04-18,12:39,2011-04-18,12:49,,,2011-04-18,Fukushima prefecture,Futaba county Namie town,,,,,Around 9,,8.4E+00,,6.1E+00,,6.1E+00,,ND,,ND,
2011-04-18,12:24,2011-04-18,12:42,,,2011-04-18,Fukushima prefecture,Futaba county Okuma town,,,,,Around 6,,1.3E+01,,7.2E+00,,6.9E+00,,ND,,ND,
2011-04-18,12:04,2011-04-18,12:18,,,2011-04-18,Fukushima prefecture,Futaba county Tomioka town,,,,,Around 8,,1.1E+01,,6.5E+00,,7.4E+00,,ND,,ND,
2011-04-18,12:51,2011-04-18,13:05,,,2011-04-18,Fukushima prefecture,Futaba county Tomioka town,,,,,Around 9,,9.0E+00,,9.5E+00,,9.5E+00,,ND,,ND,
2011-04-18,14:40,2011-04-18,14:51,,,2011-04-18,Fukushima prefecture,Minamisoma city,,,,,Around 16,,5.2E+00,,6.3E+00,,6.2E+00,,ND,,ND,
2011-04-18,12:27,2011-04-18,12:38,,,2011-04-18,Fukushima prefecture,Futaba county Namie town,,,,,Around 20,,1.1E+01,,6.3E+00,,5.9E+00,,ND,,ND,
2011-04-18,13:08,2011-04-18,13:28,,,2011-04-18,Fukushima prefecture,Futaba county Naraha town,,,,,Around 16,,1.0E+01,,8.0E+00,,6.3E+00,,ND,,ND,
2011-04-18,13:59,2011-04-18,14:19,,,2011-04-18,Fukushima prefecture,Futaba county Naraha town,,,,,Around 18,,7.3E+00,,7.1E+00,,8.3E+00,,ND,,ND,
2011-08-05,13:55,2011-08-05,14:15,2011-08-06,12:31,2011-08-06,Fukushima prefecture,Minamisoma city,"37°31'12.0""","141°00'00.0""",37.520000,141.000000,11,,ND,,6.6E-01,,9.4E-01,,ND,,ND,
2011-08-05,13:10,2011-08-05,13:30,2011-08-06,13:33,2011-08-06,Fukushima prefecture,Futaba county Namie town,"37°28'12.0""","140°57'00.0""",37.470000,140.950000,9.1,,ND,,ND,,7.3E-01,,ND,,ND,
2011-08-05,10:40,2011-08-05,11:00,2011-08-06,14:36,2011-08-06,Fukushima prefecture,Futaba county Okuma town,"37°24'36.0""","140°54'36.0""",37.410000,140.910000,11,,ND,,3.8E-01,,7.7E-01,,ND,,ND,
2011-08-05,10:28,2011-08-05,10:48,2011-08-06,15:38,2011-08-06,Fukushima prefecture,Futaba county Okuma town,"37°23'24.0""","140°57'36.0""",37.390000,140.960000,7.5,,ND,,ND,,6.7E-01,,ND,,ND,
2011-08-05,11:40,2011-08-05,12:00,2011-08-06,16:40,2011-08-06,Fukushima prefecture,Futaba county Naraha town,"37°18'00.0""","140°59'24.0""",37.300000,140.990000,14,,ND,,4.1E-01,,8.7E-01,,ND,,ND,
2011-09-14,13:00,2011-09-14,13:20,2011-09-15,13:09,2011-09-15,Fukushima prefecture,Minamisoma city,"37°31'12.0""","141°00'00.0""",37.520000,141.000000,11,5.0E-01,ND,Around 0.33,ND,Around 0.29,7.5E-01,,ND,Around 0.34,ND,Around 0.24
2011-09-14,12:10,2011-09-14,12:30,2011-09-24,09:19,2011-09-24,Fukushima prefecture,Futaba county Namie town,"37°28'12.0""","140°57'00.0""",37.470000,140.950000,9.1,2.3E+01,ND,Around 0.33,3.9E-01,,8.2E-01,,ND,Around 0.34,ND,Around 0.24
2011-09-14,10:30,2011-09-14,10:50,2011-09-24,10:58,2011-09-24,Fukushima prefecture,Futaba county Okuma town,"37°24'36.0""","140°54'36.0""",37.410000,140.910000,11,3.4E+00,ND,Around 0.33,3.7E-01,,7.2E-01,,ND,Around 0.34,ND,Around 0.24
2011-09-14,09:40,2011-09-14,10:01,2011-09-24,11:59,2011-09-24,Fukushima prefecture,Futaba county Okuma town,"37°23'24.0""","140°57'36.0""",37.390000,140.960000,7.5,3.5E+00,ND,Around 0.33,ND,Around 0.29,5.7E-01,,ND,Around 0.34,ND,Around 0.24
2011-09-14,11:22,2011-09-14,11:43,2011-09-24,13:00,2011-09-24,Fukushima prefecture,Futaba county Naraha town,"37°18'00.0""","140°59'24.0""",37.300000,140.990000,14,1.8E+00,ND,Around 0.33,ND,Around 0.29,4.8E-01,,ND,Around 0.34,ND,Around 0.24
2011-10-11,13:13,2011-10-11,13:33,2011-10-12,14:54,2011-10-12,Fukushima prefecture,Minamisoma city,"37°31'12.0""","141°00'00.0""",37.520000,141.000000,11,5.0E-01,ND,Around 0.33,ND,Around 0.28,8.5E-01,,ND,Around 0.34,ND,Around 0.24
2011-10-11,12:36,2011-10-11,12:56,2011-10-12,15:57,2011-10-12,Fukushima prefecture,Futaba county Namie town,"37°28'12.0""","140°57'00.0""",37.470000,140.950000,9.1,1.8E+01,ND,Around 0.33,ND,Around 0.28,7.5E-01,,ND,Around 0.34,ND,Around 0.24
2011-10-11,11:19,2011-10-11,11:39,2011-10-12,17:03,2011-10-12,Fukushima prefecture,Futaba county Okuma town,"37°24'36.0""","140°54'36.0""",37.410000,140.910000,11,3.2E+00,ND,Around 0.33,ND,Around 0.28,ND,Around 0.25,ND,Around 0.34,ND,Around 0.24
2011-10-11,10:12,2011-10-11,10:32,2011-10-12,18:20,2011-10-12,Fukushima prefecture,Futaba county Okuma town,"37°23'24.0""","140°57'36.0""",37.390000,140.960000,7.5,2.8E+00,ND,Around 0.33,ND,Around 0.28,5.9E-01,,ND,Around 0.34,ND,Around 0.24
2011-10-11,13:01,2011-10-11,13:21,2011-10-13,12:36,2011-10-13,Fukushima prefecture,Futaba county Naraha town,"37°18'00.0""","140°59'24.0""",37.300000,140.990000,14,1.8E+00,ND,Around 0.33,3.5E-01,,7.7E-01,,ND,Around 0.34,ND,Around 0.24
2011-11-08,12:30,2011-11-08,12:50,2011-11-14,11:37,2011-11-14,Fukushima prefecture,Minamisoma city,"37°31'12.0""","141°00'00.0""",37.520000,141.000000,11,5.0E-01,ND,Around 0.33,ND,Around 0.28,5.5E-01,,ND,Around 0.34,ND,Around 0.24
2011-11-08,11:43,2011-11-08,12:03,2011-11-14,16:14,2011-11-14,Fukushima prefecture,Futaba county Namie town,"37°28'12.0""","140°57'00.0""",37.470000,140.950000,9.1,1.9E+01,ND,Around 0.33,ND,Around 0.28,6.0E-01,,ND,Around 0.34,ND,Around 0.24
2011-11-08,10:41,2011-11-08,11:01,2011-11-14,12:40,2011-11-14,Fukushima prefecture,Futaba county Okuma town,"37°24'36.0""","140°54'36.0""",37.410000,140.910000,11,3.1E+00,ND,Around 0.33,3.7E-01,,5.0E-01,,ND,Around 0.34,ND,Around 0.24
2011-11-08,10:35,2011-11-08,10:55,2011-11-14,10:34,2011-11-14,Fukushima prefecture,Futaba county Okuma town,"37°23'24.0""","140°57'36.0""",37.390000,140.960000,7.5,3.1E+00,ND,Around 0.33,3.3E-01,,5.8E-01,,ND,Around 0.34,ND,Around 0.24
2011-11-08,11:40,2011-11-08,12:00,2011-11-14,09:32,2011-11-14,Fukushima prefecture,Futaba county Naraha town,"37°18'00.0""","140°59'24.0""",37.300000,140.990000,14,1.8E+00,ND,Around 0.33,ND,Around 0.28,7.1E-01,,ND,Around 0.34,ND,Around 0.24
2011-12-13,13:20,2011-12-13,13:40,,,2011-12-13,Fukushima prefecture,Minamisoma city,"37°31'12.0""","141°00'00.0""",37.520000,141.000000,11,5.0E-01,ND,Around 0.25,ND,Around 0.29,ND,Around 0.24,ND,Around 0.23,ND,Around 0.21
2011-12-13,12:40,2011-12-13,13:00,,,2011-12-13,Fukushima prefecture,Futaba county Namie town,"37°28'12.0""","140°57'00.0""",37.470000,140.950000,9.1,1.7E+01,ND,Around 0.25,ND,Around 0.29,ND,Around 0.24,ND,Around 0.23,ND,Around 0.21
2011-12-13,11:15,2011-12-13,11:35,,,2011-12-13,Fukushima prefecture,Futaba county Okuma town,"37°24'36.0""","140°54'36.0""",37.410000,140.910000,11,3.2E+00,ND,Around 0.25,ND,Around 0.29,ND,Around 0.24,ND,Around 0.23,ND,Around 0.21
2011-12-13,11:13,2011-12-13,11:33,,,2011-12-13,Fukushima prefecture,Futaba county Okuma town,"37°23'24.0""","140°57'36.0""",37.390000,140.960000,7.5,2.5E+00,ND,Around 0.25,ND,Around 0.29,ND,Around 0.24,ND,Around 0.23,ND,Around 0.21
2011-12-13,12:23,2011-12-13,12:43,,,2011-12-13,Fukushima prefecture,Futaba county Naraha town,"37°18'00.0""","140°59'24.0""",37.300000,140.990000,14,1.6E+00,ND,Around 0.25,ND,Around 0.29,7.4E-01,,ND,Around 0.23,ND,Around 0.21
2012-01-18,13:02,2012-01-18,14:02,,,2012-01-18,Fukushima prefecture,Minamisoma city,"37°31'12.0""","141°00'00.0""",37.520000,141.000000,11,,ND,Around 0.067,ND,Around 0.12,ND,Around 0.097,ND,Around 0.072,ND,Around 0.054
2012-01-18,11:45,2012-01-18,12:45,,,2012-01-18,Fukushima prefecture,Futaba county Namie town,"37°28'12.0""","140°57'00.0""",37.470000,140.950000,9.1,,ND,Around 0.067,ND,Around 0.12,ND,Around 0.097,ND,Around 0.072,ND,Around 0.054
2012-01-18,10:10,2012-01-18,11:13,,,2012-01-18,Fukushima prefecture,Futaba county Okuma town,"37°24'36.0""","140°54'36.0""",37.410000,140.910000,11,,ND,Around 0.067,ND,Around 0.12,ND,Around 0.097,ND,Around 0.072,ND,Around 0.054
2012-01-18,10:31,2012-01-18,11:30,,,2012-01-18,Fukushima prefecture,Futaba county Okuma town,"37°23'24.0""","140°57'36.0""",37.390000,140.960000,7.5,,ND,Around 0.067,ND,Around 0.12,ND,Around 0.097,ND,Around 0.072,ND,Around 0.054
2012-01-18,12:00,2012-01-18,12:57,,,2012-01-18,Fukushima prefecture,Futaba county Naraha town,"37°18'00.0""","140°59'24.0""",37.300000,140.990000,14,,ND,Around 0.067,ND,Around 0.12,ND,Around 0.097,ND,Around 0.072,ND,Around 0.054
2012-02-01,11:24,2012-02-01,12:18,,,2012-02-01,Fukushima prefecture,Minamisoma city,"37°31'12.0""","141°00'00.0""",37.520000,141.000000,11,,ND,Around 0.094,ND,Around 0.11,ND,Around 0.099,ND,Around 0.083,ND,Around 0.053
2012-02-01,10:15,2012-02-01,11:08,,,2012-02-01,Fukushima prefecture,Futaba county Namie town,"37°28'12.0""","140°57'00.0""",37.470000,140.950000,9.1,,ND,Around 0.094,ND,Around 0.11,ND,Around 0.099,ND,Around 0.083,ND,Around 0.053
2012-02-01,09:44,2012-02-01,10:37,,,2012-02-01,Fukushima prefecture,Futaba county Okuma town,"37°24'36.0""","140°54'36.0""",37.410000,140.910000,11,,ND,Around 0.094,ND,Around 0.11,ND,Around 0.099,ND,Around 0.083,ND,Around 0.053
2012-02-01,11:02,2012-02-01,11:56,,,2012-02-01,Fukushima prefecture,Futaba county Okuma town,"37°23'24.0""","140°57'36.0""",37.390000,140.960000,7.5,,ND,Around 0.094,ND,Around 0.11,ND,Around 0.099,ND,Around 0.083,ND,Around 0.053
2012-02-01,12:25,2012-02-01,13:18,,,2012-02-01,Fukushima prefecture,Futaba county Naraha town,"37°18'00.0""","140°59'24.0""",37.300000,140.990000,14,,ND,Around 0.094,ND,Around 0.11,ND,Around 0.099,ND,Around 0.083,ND,Around 0.053
2012-02-13,09:40,2012-02-13,10:34,,,2012-02-13,Fukushima prefecture,Futaba county Okuma town,"37°24'36.0""","140°54'36.0""",37.410000,140.910000,11,,ND,Around 0.067,ND,Around 0.094,ND,Around 0.11,ND,Around 0.080,ND,Around 0.051
2012-02-13,10:56,2012-02-13,11:51,,,2012-02-13,Fukushima prefecture,Futaba county Okuma town,"37°23'24.0""","140°57'36.0""",37.390000,140.960000,7.5,,ND,Around 0.067,ND,Around 0.094,ND,Around 0.11,ND,Around 0.080,ND,Around 0.051
2012-02-13,12:30,2012-02-13,13:24,,,2012-02-13,Fukushima prefecture,Futaba county Naraha town,"37°18'00.0""","140°59'24.0""",37.300000,140.990000,14,,ND,Around 0.067,ND,Around 0.094,ND,Around 0.11,ND,Around 0.080,ND,Around 0.051
2012-02-14,11:20,2012-02-14,12:19,,,2012-02-14,Fukushima prefecture,Minamisoma city,"37°31'12.0""","141°00'00.0""",37.520000,141.000000,11,,ND,Around 0.067,ND,Around 0.094,ND,Around 0.11,ND,Around 0.080,ND,Around 0.051
2012-02-14,10:00,2012-02-14,11:00,,,2012-02-14,Fukushima prefecture,Futaba county Namie town,"37°28'12.0""","140°57'00.0""",37.470000,140.950000,9.1,,ND,Around 0.067,ND,Around 0.094,ND,Around 0.11,ND,Around 0.080,ND,Around 0.051
2012-02-27,11:38,2012-02-27,12:38,,,2012-02-27,Fukushima prefecture,Minamisoma city,"37°31'12.0""","141°00'00.0""",37.520000,141.000000,11,,ND,Around 0.12,ND,Around 0.18,ND,Around 0.19,ND,Around 0.19,ND,Around 0.14
2012-02-27,10:18,2012-02-27,11:18,,,2012-02-27,Fukushima prefecture,Futaba county Namie town,"37°28'12.0""","140°57'00.0""",37.470000,140.950000,9.1,,ND,Around 0.12,ND,Around 0.18,ND,Around 0.19,ND,Around 0.19,ND,Around 0.14
2012-02-27,09:48,2012-02-27,10:41,,,2012-02-27,Fukushima prefecture,Futaba county Okuma town,"37°24'36.0""","140°54'36.0""",37.410000,140.910000,11,,ND,Around 0.12,ND,Around 0.18,ND,Around 0.19,ND,Around 0.19,ND,Around 0.14
2012-02-27,10:59,2012-02-27,11:51,,,2012-02-27,Fukushima prefecture,Futaba county Okuma town,"37°23'24.0""","140°57'36.0""",37.390000,140.960000,7.5,,ND,Around 0.12,ND,Around 0.18,1.4E-01,,ND,Around 0.19,ND,Around 0.14
2012-02-27,12:24,2012-02-27,13:17,,,2012-02-27,Fukushima prefecture,Futaba county Naraha town,"37°18'00.0""","140°59'24.0""",37.300000,140.990000,14,,ND,Around 0.12,ND,Around 0.18,ND,Around 0.19,ND,Around 0.19,ND,Around 0.14
2012-03-11,11:33,2012-03-11,12:32,,,2012-03-11,Fukushima prefecture,Minamisoma city,"37°31'12.0""","141°00'00.0""",37.520000,141.000000,11,,ND,Around 0.12,ND,Around 0.18,ND,Around 0.19,ND,Around 0.19,ND,Around 0.14
2012-03-11,11:10,2012-03-11,12:08,,,2012-03-11,Fukushima prefecture,Futaba county Namie town,"37°28'12.0""","140°57'00.0""",37.470000,140.950000,9.1,,ND,Around 0.12,ND,Around 0.18,ND,Around 0.19,ND,Around 0.19,ND,Around 0.14
2012-03-11,09:34,2012-03-11,10:33,,,2012-03-11,Fukushima prefecture,Futaba county Okuma town,"37°24'36.0""","140°54'36.0""",37.410000,140.910000,11,,ND,Around 0.12,ND,Around 0.18,ND,Around 0.19,ND,Around 0.19,ND,Around 0.14
2012-03-13,09:47,2012-03-13,10:37,,,2012-03-13,Fukushima prefecture,Futaba county Okuma town,"37°23'24.0""","140°57'36.0""",37.390000,140.960000,7.5,,ND,Around 0.12,ND,Around 0.18,ND,Around 0.19,ND,Around 0.19,ND,Around 0.14
2012-03-13,11:22,2012-03-13,12:04,,,2012-03-13,Fukushima prefecture,Futaba county Naraha town,"37°18'00.0""","140°59'24.0""",37.300000,140.990000,14,,ND,Around 0.12,ND,Around 0.18,ND,Around 0.19,ND,Around 0.19,ND,Around 0.14
2012-03-26,10:54,2012-03-26,11:55,,,2012-03-26,Fukushima prefecture,Minamisoma city,"37°31'12.0""","141°00'00.0""",37.520000,141.000000,11,,ND,Around 0.13,ND,Around 0.17,ND,Around 0.18,ND,Around 0.25,ND,Around 0.22
2012-03-26,10:37,2012-03-26,11:37,,,2012-03-26,Fukushima prefecture,Futaba county Namie town,"37°28'12.0""","140°57'00.0""",37.470000,140.950000,9.1,,ND,Around 0.13,ND,Around 0.17,ND,Around 0.18,ND,Around 0.25,ND,Around 0.22
2012-03-26,09:01,2012-03-26,10:00,,,2012-03-26,Fukushima prefecture,Futaba county Okuma town,"37°24'36.0""","140°54'36.0""",37.410000,140.910000,11,,ND,Around 0.13,ND,Around 0.17,ND,Around 0.18,ND,Around 0.25,ND,Around 0.22
2012-03-27,10:19,2012-03-27,11:10,,,2012-03-27,Fukushima prefecture,Futaba county Okuma town,"37°23'24.0""","140°57'36.0""",37.390000,140.960000,7.5,,ND,Around 0.13,ND,Around 0.17,ND,Around 0.18,ND,Around 0.25,ND,Around 0.22
2012-03-27,11:32,2012-03-27,12:23,,,2012-03-27,Fukushima prefecture,Futaba county Naraha town,"37°18'00.0""","140°59'24.0""",37.300000,140.990000,14,,ND,Around 0.13,ND,Around 0.17,ND,Around 0.18,ND,Around 0.25,ND,Around 0.22
2012-04-10,11:09,2012-04-10,12:02,,,2012-04-10,Fukushima prefecture,Minamisoma city,"37°31'12.0""","141°00'00.0""",37.520000,141.000000,11,,ND,Around 0.17,ND,Around 0.15,ND,Around 0.18,ND,Around 0.47,ND,Around 0.37
2012-04-10,12:25,2012-04-10,13:18,,,2012-04-10,Fukushima prefecture,Futaba county Namie town,"37°28'12.0""","140°57'00.0""",37.470000,140.950000,9.1,,ND,Around 0.17,ND,Around 0.15,ND,Around 0.18,ND,Around 0.47,ND,Around 0.37
2012-04-10,09:38,2012-04-10,10:29,,,2012-04-10,Fukushima prefecture,Futaba county Okuma town,"37°24'36.0""","140°54'36.0""",37.410000,140.910000,11,,ND,Around 0.17,ND,Around 0.15,ND,Around 0.18,ND,Around 0.47,ND,Around 0.37
2012-04-10,09:49,2012-04-10,10:46,,,2012-04-10,Fukushima prefecture,Futaba county Okuma town,"37°23'24.0""","140°57'36.0""",37.390000,140.960000,7.5,,ND,Around 0.17,ND,Around 0.15,ND,Around 0.18,ND,Around 0.47,ND,Around 0.37
2012-04-10,11:32,2012-04-10,12:29,,,2012-04-10,Fukushima prefecture,Futaba county Naraha town,"37°18'00.0""","140°59'24.0""",37.300000,140.990000,14,,ND,Around 0.17,ND,Around 0.15,ND,Around 0.18,ND,Around 0.47,ND,Around 0.37
2012-04-21,10:44,2012-04-21,11:36,,,2012-04-21,Fukushima prefecture,Minamisoma city,"37°31'12.0""","141°00'00.0""",37.520000,141.000000,11,,ND,Around 0.069,ND,Around 0.093,ND,Around 0.094,ND,Around 0.077,ND,Around 0.049
2012-04-21,10:18,2012-04-21,11:08,,,2012-04-21,Fukushima prefecture,Futaba county Namie town,"37°28'12.0""","140°57'00.0""",37.470000,140.950000,9.1,,ND,Around 0.069,ND,Around 0.093,ND,Around 0.094,ND,Around 0.077,ND,Around 0.049
2012-04-24,09:27,2012-04-24,10:25,,,2012-04-24,Fukushima prefecture,Futaba county Okuma town,"37°24'36.0""","140°54'36.0""",37.410000,140.910000,11,,ND,Around 0.069,ND,Around 0.093,9.4E-02,,ND,Around 0.077,ND,Around 0.049
2012-04-24,09:52,2012-04-24,10:50,,,2012-04-24,Fukushima prefecture,Futaba county Okuma town,"37°23'24.0""","140°57'36.0""",37.390000,140.960000,7.5,,ND,Around 0.069,ND,Around 0.093,ND,Around 0.094,ND,Around 0.077,ND,Around 0.049
2012-04-24,11:00,2012-04-24,11:56,,,2012-04-24,Fukushima prefecture,Futaba county Naraha town,"37°18'00.0""","140°59'24.0""",37.300000,140.990000,14,,ND,Around 0.069,ND,Around 0.093,ND,Around 0.094,ND,Around 0.077,ND,Around 0.049
2012-05-07,10:37,2012-05-07,11:30,,,2012-05-07,Fukushima prefecture,Minamisoma city,"37°31'12.0""","141°00'00.0""",37.520000,141.000000,11,5.0E-01,ND,Around 0.073,ND,Around 0.098,ND,Around 0.095,ND,Around 0.064,ND,Around 0.053
2012-05-07,12:30,2012-05-07,13:24,,,2012-05-07,Fukushima prefecture,Futaba county Namie town,"37°28'12.0""","140°57'00.0""",37.470000,140.950000,9.1,1.8E+01,ND,Around 0.073,ND,Around 0.098,ND,Around 0.095,ND,Around 0.064,ND,Around 0.053
2012-05-07,10:28,2012-05-07,11:23,,,2012-05-07,Fukushima prefecture,Futaba county Okuma town,"37°24'36.0""","140°54'36.0""",37.410000,140.910000,11,2.8E+00,ND,Around 0.073,ND,Around 0.098,ND,Around 0.095,ND,Around 0.064,ND,Around 0.053
2012-05-07,11:39,2012-05-07,12:35,,,2012-05-07,Fukushima prefecture,Futaba county Okuma town,"37°23'24.0""","140°57'36.0""",37.390000,140.960000,7.5,3.0E+00,ND,Around 0.073,ND,Around 0.098,ND,Around 0.095,ND,Around 0.064,ND,Around 0.053
2012-05-07,13:03,2012-05-07,13:58,,,2012-05-07,Fukushima prefecture,Futaba county Naraha town,"37°18'00.0""","140°59'24.0""",37.300000,140.990000,14,1.6E+00,ND,Around 0.073,ND,Around 0.098,ND,Around 0.095,ND,Around 0.064,ND,Around 0.053
2012-05-21,09:40,2012-05-21,10:33,,,2012-05-21,Fukushima prefecture,Minamisoma city,"37°31'12.0""","141°00'00.0""",37.520000,141.000000,11,5.0E-01,ND,Around 0.068,ND,Around 0.13,ND,Around 0.096,ND,Around 0.068,ND,Around 0.056
2012-05-21,11:10,2012-05-21,12:03,,,2012-05-21,Fukushima prefecture,Futaba county Namie town,"37°28'12.0""","140°57'00.0""",37.470000,140.950000,9.1,1.7E+01,ND,Around 0.068,ND,Around 0.13,ND,Around 0.096,ND,Around 0.068,ND,Around 0.056
2012-05-22,09:41,2012-05-22,10:37,,,2012-05-22,Fukushima prefecture,Futaba county Okuma town,"37°24'36.0""","140°54'36.0""",37.410000,140.910000,11,2.7E+00,ND,Around 0.068,ND,Around 0.13,ND,Around 0.096,ND,Around 0.068,ND,Around 0.056
2012-05-22,10:58,2012-05-22,11:53,,,2012-05-22,Fukushima prefecture,Futaba county Okuma town,"37°23'24.0""","140°57'36.0""",37.390000,140.960000,7.5,2.8E+00,ND,Around 0.068,ND,Around 0.13,ND,Around 0.096,ND,Around 0.068,ND,Around 0.056
2012-05-22,12:20,2012-05-22,13:16,,,2012-05-22,Fukushima prefecture,Futaba county Naraha town,"37°18'00.0""","140°59'24.0""",37.300000,140.990000,14,1.6E+00,ND,Around 0.068,ND,Around 0.13,ND,Around 0.096,ND,Around 0.068,ND,Around 0.056
2012-06-04,09:56,2012-06-04,10:49,,,2012-06-04,Fukushima prefecture,Minamisoma city,"37°31'12.0""","141°00'00.0""",37.520000,141.000000,11,5.0E-01,ND,Around 0.068,ND,Around 0.13,ND,Around 0.10,ND,Around 0.088,ND,Around 0.056
2012-06-04,11:28,2012-06-04,12:22,,,2012-06-04,Fukushima prefecture,Futaba county Namie town,"37°28'12.0""","140°57'00.0""",37.470000,140.950000,9.1,1.5E+01,ND,Around 0.068,ND,Around 0.13,ND,Around 0.10,ND,Around 0.088,ND,Around 0.056
2012-06-04,09:28,2012-06-04,10:26,,,2012-06-04,Fukushima prefecture,Futaba county Okuma town,"37°24'36.0""","140°54'36.0""",37.410000,140.910000,11,2.3E+00,ND,Around 0.068,ND,Around 0.13,ND,Around 0.10,ND,Around 0.088,ND,Around 0.056
2012-06-04,10:45,2012-06-04,11:42,,,2012-06-04,Fukushima prefecture,Futaba county Okuma town,"37°23'24.0""","140°57'36.0""",37.390000,140.960000,7.5,2.4E+00,ND,Around 0.068,ND,Around 0.13,ND,Around 0.10,ND,Around 0.088,ND,Around 0.056
2012-06-04,12:04,2012-06-04,13:01,,,2012-06-04,Fukushima prefecture,Futaba county Naraha town,"37°18'00.0""","140°59'24.0""",37.300000,140.990000,14,1.3E+00,ND,Around 0.068,ND,Around 0.13,ND,Around 0.10,ND,Around 0.088,ND,Around 0.056
2012-06-18,09:38,2012-06-18,10:36,,,2012-06-18,Fukushima prefecture,Futaba county Okuma town,"37°24'36.0""","140°54'36.0""",37.410000,140.910000,11,2.2E+00,ND,Around 0.065,ND,Around 0.085,ND,Around 0.096,ND,Around 0.075,ND,Around 0.052
2012-06-18,10:55,2012-06-18,11:52,,,2012-06-18,Fukushima prefecture,Futaba county Okuma town,"37°23'24.0""","140°57'36.0""",37.390000,140.960000,7.5,2.4E+00,ND,Around 0.065,ND,Around 0.085,ND,Around 0.096,ND,Around 0.075,ND,Around 0.052
2012-06-18,12:24,2012-06-18,13:21,,,2012-06-18,Fukushima prefecture,Futaba county Naraha town,"37°18'00.0""","140°59'24.0""",37.300000,140.990000,14,1.2E+00,ND,Around 0.065,ND,Around 0.085,ND,Around 0.096,ND,Around 0.075,ND,Around 0.052
2012-06-19,09:59,2012-06-19,10:52,,,2012-06-19,Fukushima prefecture,Minamisoma city,"37°31'12.0""","141°00'00.0""",37.520000,141.000000,11,4.0E-01,ND,Around 0.065,ND,Around 0.085,ND,Around 0.096,ND,Around 0.075,ND,Around 0.052
2012-06-19,11:28,2012-06-19,12:22,,,2012-06-19,Fukushima prefecture,Futaba county Namie town,"37°28'12.0""","140°57'00.0""",37.470000,140.950000,9.1,1.4E+01,ND,Around 0.065,ND,Around 0.085,ND,Around 0.096,ND,Around 0.075,ND,Around 0.052
2012-07-03,09:46,2012-07-03,10:39,,,2012-07-03,Fukushima prefecture,Minamisoma city,"37°31'12.0""","141°00'00.0""",37.520000,141.000000,11,5.0E-01,ND,Around 0.069,ND,Around 0.12,ND,Around 0.088,ND,Around 0.072,ND,Around 0.055
2012-07-03,11:18,2012-07-03,12:13,,,2012-07-03,Fukushima prefecture,Futaba county Namie town,"37°28'12.0""","140°57'00.0""",37.470000,140.950000,9.1,1.5E+01,ND,Around 0.069,ND,Around 0.12,ND,Around 0.088,ND,Around 0.072,ND,Around 0.055
2012-07-03,09:21,2012-07-03,10:20,,,2012-07-03,Fukushima prefecture,Futaba county Okuma town,"37°24'36.0""","140°54'36.0""",37.410000,140.910000,11,2.2E+00,ND,Around 0.069,ND,Around 0.12,ND,Around 0.088,ND,Around 0.072,ND,Around 0.055
2012-07-03,10:38,2012-07-03,11:35,,,2012-07-03,Fukushima prefecture,Futaba county Okuma town,"37°23'24.0""","140°57'36.0""",37.390000,140.960000,7.5,2.4E+00,ND,Around 0.069,ND,Around 0.12,ND,Around 0.088,ND,Around 0.072,ND,Around 0.055
2012-07-03,12:03,2012-07-03,13:01,,,2012-07-03,Fukushima prefecture,Futaba county Naraha town,"37°18'00.0""","140°59'24.0""",37.300000,140.990000,14,1.2E+00,ND,Around 0.069,ND,Around 0.12,ND,Around 0.088,ND,Around 0.072,ND,Around 0.055
2012-07-16,09:20,2012-07-16,10:18,,,2012-07-16,Fukushima prefecture,Futaba county Okuma town,"37°24'36.0""","140°54'36.0""",37.410000,140.910000,11,2.4E+00,ND,Around 0.074,ND,Around 0.14,ND,Around 0.099,ND,Around 0.072,ND,Around 0.056
